#{"t_start": 1706825427.4907997, "env_id": "None"}
r,l,t
-1.275741,250,3.940702
-3.625295,250,16.835136
-2.55211,250,18.859298
-3.460242,250,21.01969
-6.549369,250,23.084343
-4.767896,250,25.13446
-3.095905,250,27.160113
-3.112887,250,29.20625
-3.317564,250,31.185478
-3.570802,250,33.401842
-3.221598,250,35.719074
-1.117744,250,37.97404
-2.87081,250,40.581796
-3.160524,250,43.564531
-2.08592,250,47.321556
-2.057693,250,51.008164
-2.081833,250,54.365597
-2.450954,250,58.088376
-2.904645,250,61.830855
-3.458834,250,65.55092
-2.704369,250,69.244761
-1.912567,250,72.366097
-3.289458,250,76.003872
-1.754264,250,78.246094
-1.701918,250,80.32455
-1.755033,250,82.497934
-2.140441,250,84.513574
-2.223633,250,86.787001
-1.592776,250,88.919365
